no,instruction_set,no_aturan,kutipan_aturan,pesan_uji,konteks_json,field_diperiksa,nilai_diharapkan,dicegat_jalur_cepat,alasan_penurunan
26,Nitip,18,"Nama tempat setelah kata ""di"" atau ""dari"" SELALU merchant/toko/resto, terlepas huruf besar atau kecil (contoh ""di baloeng gajah"" sama dengan ""di Baloeng Gajah""); jika berbeda dari active_merchant_name, isi merchant/stops dengan tempat itu, jangan jadikan bagian nama item.","beliin nasi goreng 1 di baloeng gajah",,merchant|resto;items.0.name,"baloeng gajah;nasi goreng",tidak,"Aturan menyatakan nama tempat setelah kata ""di"" selalu merchant meskipun ditulis huruf kecil."
27,Nitip,18,"Nama tempat setelah kata ""di"" atau ""dari"" SELALU merchant/toko/resto, terlepas huruf besar atau kecil (contoh ""di baloeng gajah"" sama dengan ""di Baloeng Gajah""); jika berbeda dari active_merchant_name, isi merchant/stops dengan tempat itu, jangan jadikan bagian nama item.","beliin roti 1 dari alfamart tingkir",,merchant|resto;items.0.name,"alfamart tingkir;roti",tidak,"Aturan menyetarakan kata ""dari"" dengan ""di"" sebagai penanda merchant."
28,Nitip,19,"Gunakan remove_merchant saat pengguna membatalkan atau menghapus SEBUAH TEMPAT, misalnya ""hapus tempat baloeng gajah"", ""tidak jadi pesan di X"", ""gak jadi di resto itu"", atau ""batalkan toko kedua""; isi target_merchant dengan nama tempatnya (atau target_stop dengan urutan 1-3), dan JANGAN perlakukan ini sebagai penghapusan item.","hapus tempat baloeng gajah",,command;target_merchant;items.jumlah,"remove_merchant;baloeng gajah;0",tidak,"Contoh tertulis verbatim dan aturan melarang perintah ini diperlakukan sebagai penghapusan item (kasus negatif)."
29,Nitip,19,"Gunakan remove_merchant saat pengguna membatalkan atau menghapus SEBUAH TEMPAT, misalnya ""hapus tempat baloeng gajah"", ""tidak jadi pesan di X"", ""gak jadi di resto itu"", atau ""batalkan toko kedua""; isi target_merchant dengan nama tempatnya (atau target_stop dengan urutan 1-3), dan JANGAN perlakukan ini sebagai penghapusan item.","batalkan toko kedua",,command;target_stop,remove_merchant;2,tidak,"Contoh tertulis verbatim dan aturan menyediakan target_stop berisi urutan 1-3."
30,Nitip,20,"Jika user menambah item, operation item adalah ""add""; jika user mengurangi item dengan kata ""kurangi"", ""kurangin"", atau ""kurang"", operation item adalah ""decrement""; jika user mengubah jumlah final dengan kata seperti ""saja"", ""cukup"", atau ""jadi"", operation adalah ""set""; jika user menghapus/membatalkan item, operation adalah ""remove"".","tambah es teh 1",,items.0.operation,add,tidak,"Aturan menetapkan operation ""add"" untuk penambahan item."
31,Nitip,20,"Jika user menambah item, operation item adalah ""add""; jika user mengurangi item dengan kata ""kurangi"", ""kurangin"", atau ""kurang"", operation item adalah ""decrement""; jika user mengubah jumlah final dengan kata seperti ""saja"", ""cukup"", atau ""jadi"", operation adalah ""set""; jika user menghapus/membatalkan item, operation adalah ""remove"".","kurangi es teh 1",,items.0.operation,decrement,tidak,"Kata ""kurangi"" disebut eksplisit sebagai pemicu operation decrement."
32,Nitip,20,"Jika user menambah item, operation item adalah ""add""; jika user mengurangi item dengan kata ""kurangi"", ""kurangin"", atau ""kurang"", operation item adalah ""decrement""; jika user mengubah jumlah final dengan kata seperti ""saja"", ""cukup"", atau ""jadi"", operation adalah ""set""; jika user menghapus/membatalkan item, operation adalah ""remove"".","es teh 2 saja",,items.0.operation,set,tidak,"Kata ""saja"" disebut eksplisit sebagai pemicu operation set."
33,Nitip,20,"Jika user menambah item, operation item adalah ""add""; jika user mengurangi item dengan kata ""kurangi"", ""kurangin"", atau ""kurang"", operation item adalah ""decrement""; jika user mengubah jumlah final dengan kata seperti ""saja"", ""cukup"", atau ""jadi"", operation adalah ""set""; jika user menghapus/membatalkan item, operation adalah ""remove"".","hapus es teh",,items.0.operation,remove,tidak,"Aturan menetapkan operation ""remove"" untuk penghapusan item."
34,Nitip,21,"Jangan jadikan kata ""kurangi"", ""kurangin"", ""tambah"", atau ""hapus"" sebagai bagian nama item.","kurangin es teh 1",,items.0.name,"es teh",tidak,"Aturan melarang kata ""kurangin"" menjadi bagian nama item (kasus negatif)."
35,Nitip,22,"Jangan mengembalikan ulang item lama dari CONTEXT_JSON kecuali item itu disebut lagi di pesan terbaru.","es teh 2","{""service_type"":""nitip"",""recent_turns"":[{""role"":""user"",""message"":""beliin nasi goreng 1""},{""role"":""assistant"",""message"":""Oke, nasi goreng 1 sudah dicatat.""}],""draft_state"":{""intent"":""shopping_order"",""service_type"":""nitip"",""shopping"":{""merchant_name"":""Warung Teteh"",""merchant_count"":1,""active_merchant_name"":""Warung Teteh"",""available_menus"":[],""item_count"":1,""ready_to_confirm"":false}}}",items.jumlah;items.0.name,"1;es teh",tidak,"Item lama hanya muncul pada riwayat CONTEXT_JSON dan tidak disebut ulang, sehingga aturan melarang item itu dikembalikan (kasus negatif)."
36,Nitip,23,"Jika CONTEXT_JSON memuat available_menus (katalog menu toko aktif), samakan nama item dengan salah satu nama di daftar itu SECARA PERSIS bila jelas merujuk menu yang sama, termasuk untuk singkatan dan salah tulis, contoh ""gacoan lvl 1"" menjadi ""Mie Gacoan Level 1""; angka level/varian tetap ikut nama menu.","gacoan lvl 1","{""service_type"":""nitip"",""draft_state"":{""intent"":""shopping_order"",""service_type"":""nitip"",""shopping"":{""merchant_name"":""Mie Gacoan Salatiga"",""merchant_count"":1,""active_merchant_name"":""Mie Gacoan Salatiga"",""available_menus"":[""Mie Gacoan Level 1"",""Mie Gacoan Level 5"",""Es Teh Manis""],""item_count"":0,""ready_to_confirm"":false}}}",items.0.name,"Mie Gacoan Level 1",tidak,"Contoh ""gacoan lvl 1"" menjadi ""Mie Gacoan Level 1"" tertulis verbatim pada aturan."
37,Nitip,24,"Kalau tidak ada nama di available_menus yang cocok, tulis nama item apa adanya seperti yang diketik pengguna dan JANGAN mengarang nama menu yang tidak ada di daftar itu.","sate ayam 1","{""service_type"":""nitip"",""draft_state"":{""intent"":""shopping_order"",""service_type"":""nitip"",""shopping"":{""merchant_name"":""Mie Gacoan Salatiga"",""merchant_count"":1,""active_merchant_name"":""Mie Gacoan Salatiga"",""available_menus"":[""Mie Gacoan Level 1"",""Mie Gacoan Level 5"",""Es Teh Manis""],""item_count"":0,""ready_to_confirm"":false}}}",items.0.name,"sate ayam",tidak,"Nama tidak ada pada available_menus sehingga aturan mewajibkan penulisan apa adanya tanpa mengarang nama menu (kasus negatif)."
38,Nitip,25,"Item dari warung/alfamart/restoran boleh berupa barang umum atau nama makanan.",-,,-,"TIDAK DAPAT DIUJI",-,"Aturan memakai kata ""boleh"" sehingga bersifat permisif: tidak ada keluaran yang dapat dinyatakan melanggarnya."
39,Nitip,26,"Jangan menentukan item berat; berat akan dikonfirmasi driver.",-,,-,"TIDAK DAPAT DIUJI",-,"Tidak ada field berat pada responseSchema; selain itu aturan ini tumpang tindih dengan aturan 14 yang justru mewajibkan ukuran seperti ""1kg"" menjadi bagian nama item."
40,Nitip,27,"Jika disediakan CONTEXT_JSON, gunakan untuk menjaga kesinambungan draft dan merchant aktif tanpa menyalin ulang semua item lama.",-,,-,"TIDAK DAPAT DIUJI",-,"Aturan bersifat umum tanpa nilai keluaran tertentu; bagiannya yang dapat diperiksa (""tanpa menyalin ulang semua item lama"") sudah diuji melalui aturan 22."
41,Kurir,1,"Gunakan command ""confirm"" hanya jika pesan user adalah konfirmasi singkat seperti ""konfirmasi"", ""confirm"", atau ""lanjut""; pesan yang berisi isi paket/lokasi tidak boleh menjadi confirm.",konfirmasi,,command;intent,confirm;courier_order,ya,"Kata ""konfirmasi"" tercantum verbatim pada aturan sebagai bentuk pemicu command confirm."
42,Kurir,1,"Gunakan command ""confirm"" hanya jika pesan user adalah konfirmasi singkat seperti ""konfirmasi"", ""confirm"", atau ""lanjut""; pesan yang berisi isi paket/lokasi tidak boleh menjadi confirm.","lanjut antar kunci ke Alfamart Sidomukti",,command,bukan:confirm,tidak,"Aturan menyatakan pesan yang berisi isi paket atau lokasi tidak boleh menjadi confirm (kasus negatif)."
43,Kurir,2,"Gunakan command ""help"" dengan intent ""courier_order"" saat pengguna menanyakan cara memakai BangBot atau cara membuat pesanan, misalnya ""cara pesennya gimana"" atau ""ini suruh ngapain"".","cara pesennya gimana",,command;intent,help;courier_order,ya,"Contoh ""cara pesennya gimana"" beserta intent courier_order tertulis verbatim pada aturan."
44,Kurir,3,"Ekstrak pickup, tujuan, isi paket, dan metode pembayaran hanya jika user menyebutnya.","anterin buku ke Kantor Pos Salatiga",,dropoff_address;package_description,"berisi:kantor pos salatiga;buku",tidak,"Tujuan dan isi paket disebut pada pesan sehingga menurut aturan wajib diekstrak."
45,Kurir,3,"Ekstrak pickup, tujuan, isi paket, dan metode pembayaran hanya jika user menyebutnya.","anterin paket",,pickup_address;dropoff_address;payment_method,kosong;kosong;kosong,tidak,"Frasa ""hanya jika user menyebutnya"" mewajibkan field yang tidak disebut tetap kosong (kasus negatif)."
46,Kurir,4,"Frasa seperti ""isi paket kunci"", ""paketnya kunci"", ""kunci"", ""sabun"", ""isi paket sabun"", dan ""kirim kunci"" harus mengisi package_description jika konteksnya sedang melengkapi isi paket.","isi paket kunci",,package_description,kunci,tidak,"Frasa ""isi paket kunci"" tercantum verbatim pada aturan sebagai pengisi package_description."
47,Kurir,5,"Jika user menulis nama tempat + area, contoh ""antar kacamata ke Erha Setiabudi Tembalang"", isi dropoff_address dengan ""Erha Setiabudi Tembalang"" dan package_description dengan ""kacamata"".","antar kacamata ke Erha Setiabudi Tembalang",,dropoff_address;package_description,"Erha Setiabudi Tembalang;kacamata",tidak,"Pesan uji beserta kedua nilai harapannya tertulis verbatim di dalam aturan."
48,Kurir,6,"Jika user menyebut rumahku/rumah saya sebagai pickup, isi pickup_address ""rumah"".","ambil paketnya di rumahku, antar ke Alfamart Sidomukti",,pickup_address,rumah,tidak,"Aturan menetapkan sebutan ""rumahku"" sebagai pickup diisi dengan nilai ""rumah""."
49,Kurir,7,"Barang ambigu tetap diekstrak apa adanya agar backend bisa meminta klarifikasi.",-,,-,"TIDAK DAPAT DIUJI",-,"Kriteria ""barang ambigu"" tidak didefinisikan pada prompt sehingga nilai harapannya bergantung penilaian penguji, bukan spesifikasi."
50,Kurir,8,"Pisahkan pesan kurir menjadi tiga bagian: barang inti, imbuhan barang (merek, pemilik, atau keterangan seperti ""ROG temen gue"" atau ""papaku yang ketinggalan""), dan lokasi.",-,,-,"TIDAK DAPAT DIUJI",-,"Aturan mengatur cara berpikir model, bukan keluaran: tidak ada field terpisah untuk barang inti maupun imbuhan; akibatnya baru terlihat pada aturan 9."
51,Kurir,9,"package_description harus berisi barang inti BESERTA imbuhannya, dan TIDAK BOLEH memuat kata ""ke"", ""dari"", atau nama tempat tujuan.","kirimin charger punya adek ke Alfamart Sidomukti",,package_description;package_description;package_description;package_description,berisi:charger;berisi:adek;tanpa:ke;tanpa:alfamart,tidak,"Aturan mewajibkan barang inti beserta imbuhannya dan melarang kata ""ke"" maupun nama tempat tujuan ikut masuk."
52,Kurir,10,"Kata kerja santai seperti ""anter"", ""anterin"", ""anterkan"", ""antarin"", ""kirimin"", dan ""bawain"" berarti antar/kirim.","bawain payung ke Kantor Pos Salatiga",,intent;dropoff_address,"courier_order;berisi:kantor pos",tidak,"Kata ""bawain"" disebut eksplisit sebagai kata kerja yang berarti antar/kirim."
53,Kurir,10,"Kata kerja santai seperti ""anter"", ""anterin"", ""anterkan"", ""antarin"", ""kirimin"", dan ""bawain"" berarti antar/kirim.","kirimin dokumen ke Alfamart Sidomukti",,intent;package_description,courier_order;dokumen,tidak,"Kata ""kirimin"" disebut eksplisit sebagai kata kerja yang berarti antar/kirim."
54,Kurir,11,"Jika disediakan CONTEXT_JSON, gunakan untuk membaca progres percakapan dan draft terakhir.",-,,-,"TIDAK DAPAT DIUJI",-,"Aturan bersifat umum (""gunakan untuk membaca progres"") tanpa nilai keluaran tertentu yang dapat diturunkan."
55,"Antar Jemput",1,"Gunakan command ""help"" dengan intent ""ride_order"" saat pengguna menanyakan cara memakai BangBot atau cara membuat pesanan, misalnya ""cara pesennya gimana"" atau ""ini suruh ngapain"".","cara pesennya gimana",,command;intent,help;ride_order,ya,"Contoh ""cara pesennya gimana"" beserta intent ride_order tertulis verbatim pada aturan."
56,"Antar Jemput",2,"Jika user memberi tujuan dengan pola seperti ""antar ke Ramayana Salatiga"" atau ""saya mau ke Alun-Alun Salatiga"", isi destination_address.","antar ke Ramayana Salatiga",,destination_address,"Ramayana Salatiga",tidak,"Pola ""antar ke Ramayana Salatiga"" tertulis verbatim pada aturan sebagai pengisi destination_address."
57,"Antar Jemput",3,"Kata kerja santai seperti ""anter"", ""anterin"", ""gas ke"", dan ""otw ke"" juga berarti minta diantar ke tujuan.","gas ke Stasiun Tawang",,destination_address,"Stasiun Tawang",tidak,"Frasa ""gas ke"" disebut eksplisit sebagai permintaan diantar ke tujuan."
58,"Antar Jemput",3,"Kata kerja santai seperti ""anter"", ""anterin"", ""gas ke"", dan ""otw ke"" juga berarti minta diantar ke tujuan.","otw ke Bandara Ahmad Yani",,destination_address,"Bandara Ahmad Yani",tidak,"Frasa ""otw ke"" disebut eksplisit sebagai permintaan diantar ke tujuan."
59,"Antar Jemput",4,"Jika user menyebut lokasi jemput dengan pola seperti ""jemput saya di <lokasi>"" atau ""dari <lokasi> ke <tujuan>"", isi pickup_address dengan lokasi jemput tersebut. Jangan taruh lokasi jemput di notes.","jemput saya di Terminal Tingkir",,pickup_address;notes,"Terminal Tingkir;kosong",tidak,"Pola ""jemput saya di <lokasi>"" tertulis verbatim, dan aturan melarang lokasi jemput ditaruh di notes (kasus negatif)."
60,"Antar Jemput",4,"Jika user menyebut lokasi jemput dengan pola seperti ""jemput saya di <lokasi>"" atau ""dari <lokasi> ke <tujuan>"", isi pickup_address dengan lokasi jemput tersebut. Jangan taruh lokasi jemput di notes.","dari Kos Melati ke Ramayana Salatiga",,pickup_address;destination_address,"Kos Melati;Ramayana Salatiga",tidak,"Pola ""dari <lokasi> ke <tujuan>"" tertulis verbatim pada aturan."
61,"Antar Jemput",5,"Sebutan jemput yang mengacu ke alamat tersimpan seperti ""rumah"" atau ""kantor"" boleh diisi apa adanya ke pickup_address.","jemput di kantor ya",,pickup_address,kantor,tidak,"Aturan menyatakan sebutan alamat tersimpan seperti ""kantor"" boleh diisi apa adanya ke pickup_address."
62,"Antar Jemput",6,"Jika disediakan CONTEXT_JSON, gunakan untuk membaca progres percakapan dan draft terakhir.",-,,-,"TIDAK DAPAT DIUJI",-,"Aturan bersifat umum (""gunakan untuk membaca progres"") tanpa nilai keluaran tertentu yang dapat diturunkan."
63,Nitip,KELUARAN,"Hanya JSON sesuai schema. intent valid: ""shopping_order"" atau ""out_of_domain"". command valid: ""confirm"", ""add_merchant"", ""remove_merchant"", ""show_menu"", ""menu_next"", ""menu_previous"", ""search_menu"", ""recommend_food"", ""help"", atau ""none"". Dilarang merespon teks biasa.","harga bitcoin hari ini berapa",,intent,out_of_domain,tidak,"Kontrak keluaran menyatakan out_of_domain sebagai nilai intent yang sah, sehingga pesan di luar domain harus dapat memicunya."
64,Kurir,KELUARAN,"Hanya JSON sesuai schema. intent valid: ""courier_order"" atau ""out_of_domain"". command valid: ""confirm"", ""reset_destination"", ""help"", atau ""none"". Dilarang merespon teks biasa.","presiden indonesia siapa",,intent,out_of_domain,tidak,"Kontrak keluaran menyatakan out_of_domain sebagai nilai intent yang sah, sehingga pesan di luar domain harus dapat memicunya."
65,"Antar Jemput",KELUARAN,"Hanya JSON sesuai schema. intent valid: ""ride_order"" atau ""out_of_domain"". command valid: ""confirm"", ""reset_destination"", ""help"", atau ""none"". Dilarang merespon teks biasa.","cuaca besok gimana",,intent,out_of_domain,tidak,"Kontrak keluaran menyatakan out_of_domain sebagai nilai intent yang sah, sehingga pesan di luar domain harus dapat memicunya."
66,Kurir,KELUARAN,"Hanya JSON sesuai schema. intent valid: ""courier_order"" atau ""out_of_domain"". command valid: ""confirm"", ""reset_destination"", ""help"", atau ""none"". Dilarang merespon teks biasa.","ganti tujuan",,command,reset_destination,ya,"Kontrak keluaran menyatakan reset_destination sebagai command yang sah, padahal tidak ada butir aturan yang menjelaskan kapan dipilih."
67,"Antar Jemput",KELUARAN,"Hanya JSON sesuai schema. intent valid: ""ride_order"" atau ""out_of_domain"". command valid: ""confirm"", ""reset_destination"", ""help"", atau ""none"". Dilarang merespon teks biasa.","ubah tujuan",,command,reset_destination,ya,"Kontrak keluaran menyatakan reset_destination sebagai command yang sah, padahal tidak ada butir aturan yang menjelaskan kapan dipilih."
68,"Antar Jemput",KELUARAN,"Hanya JSON sesuai schema. intent valid: ""ride_order"" atau ""out_of_domain"". command valid: ""confirm"", ""reset_destination"", ""help"", atau ""none"". Dilarang merespon teks biasa.",konfirmasi,,command,confirm,ya,"Kontrak keluaran menyatakan confirm sebagai command yang sah, padahal instruction set Antar Jemput tidak memuat butir aturan tentang konfirmasi."
